rank,name,position,nation,age,team,value
1,Erling Haaland,Centre-Forward,Norway,24,Manchester City,€200.00m
2,Vinicius Junior,Left Winger,Brazil,24,Real Madrid,€200.00m
3,Lamine Yamal,Right Winger,Spain,17,FC Barcelona,€180.00m
4,Jude Bellingham,Attacking Midfield,England,21,Real Madrid,€180.00m
5,Kylian Mbappé,Centre-Forward,France,26,Real Madrid,€160.00m
6,Bukayo Saka,Right Winger,England,23,Arsenal FC,€150.00m
7,Florian Wirtz,Attacking Midfield,Germany,21,Bayer 04 Leverkusen,€140.00m
8,Jamal Musiala,Attacking Midfield,Germany,22,Bayern Munich,€140.00m
9,Cole Palmer,Attacking Midfield,England,22,Chelsea FC,€130.00m
10,Phil Foden,Right Winger,England,24,Manchester City,€130.00m
11,Federico Valverde,Central Midfield,Uruguay,26,Real Madrid,€130.00m
12,Rodri,Defensive Midfield,Spain,28,Manchester City,€130.00m
13,Declan Rice,Central Midfield,England,26,Arsenal FC,€110.00m
14,Pedri,Central Midfield,Spain,22,FC Barcelona,€100.00m
15,Rodrygo,Right Winger,Brazil,24,Real Madrid,€100.00m
16,Lautaro Martínez,Centre-Forward,Argentina,27,Inter Milan,€100.00m
17,Alexander Isak,Centre-Forward,Sweden,25,Newcastle United,€100.00m
18,Martin Ødegaard,Attacking Midfield,Norway,26,Arsenal FC,€100.00m
19,Alexis Mac Allister,Central Midfield,Argentina,26,Liverpool FC,€90.00m
20,Harry Kane,Centre-Forward,England,31,Bayern Munich,€90.00m
21,Khvicha Kvaratskhelia,Left Winger,Georgia,24,Paris Saint-Germain,€85.00m
22,Luis Díaz,Left Winger,Colombia,28,Liverpool FC,€85.00m
23,Moisés Caicedo,Defensive Midfield,Ecuador,23,Chelsea FC,€80.00m
24,Gavi,Central Midfield,Spain,20,FC Barcelona,€80.00m
25,Eduardo Camavinga,Central Midfield,France,22,Real Madrid,€80.00m
